Table S3  Raw counts of gene expression quantified by mapping each paired-end library to the P. trichocarpa v3 genome																				
Gene	FAI_01_FL_male_GATCAG_L003	FAI_02_FL_male_TAGCTT_L003	FAI_03_FL_male_GGCTAC_L003	FAI_04_FL_male_CTTGTA_L003	FAI_07_FL_male_AGTCAA_L003	FAI_05_FL_female_AGTTCC_L003	FAI_06_FL_female_ATGTCA_L003	FAI_08_FL_female_CCGTCC_L003	FAI_10_FL_female_GTCCGC_L004	FAI_11_FL_female_GTGAAA_L004	FAI_01_leaf_M_GTGGCC_L004	FAI_02_leaf_M_GTTTCG_L004	FAI_03_leaf_M_CGTACG_L004	FAI_04_leaf_M_GAGTGG_L004	FAI_07_leaf_M_ACTGAT_L004	FAI_05_leaf_F_ATCACG_L005	FAI_06_leaf_F_ATTCCT_L004	FAI_08_leaf_F_CGATGT_L005	FAI_10_leaf_F_TTAGGC_L005	FAI_11_leaf_F_TGACCA_L005
Potri.001G000200.v3.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Potri.001G000300.v3.0	122	122	97	73	69	83	87	94	80	89	75	62	73	64	100	112	74	70	91	92
Potri.001G000400.v3.0	150	225	173	169	141	188	179	204	179	176	172	174	161	138	175	240	182	138	171	179
Potri.001G000500.v3.0	50426	30697	47875	63321	50262	16	18	11	1	1	5	0	10	0	0	3	11	0	0	1
Potri.001G000600.v3.0	61269	34912	49378	75207	53685	19	17	16	1	2	4	2	16	1	0	0	8	0	0	2
Potri.001G000700.v3.0	92	355	102	41	74	389	389	422	385	354	418	492	380	379	455	408	544	291	556	391
Potri.001G000800.v3.0	4	11	3	0	0	83	135	113	169	76	122	117	169	81	173	61	101	125	259	153
Potri.001G000900.v3.0	1816	2868	1793	1675	1483	1202	1333	1374	1133	1029	1248	1278	1029	1152	1257	1329	1215	991	1176	972
Potri.001G001000.v3.0	1	1	3	1	0	18	12	10	8	6	27	38	20	14	25	6	30	21	42	13
Potri.001G001100.v3.0	1	1	0	0	3	1	1	3	2	0	38	8	22	15	5	16	5	21	9	40
Potri.001G001200.v3.0	3	12	3	6	2	14	25	13	20	9	6	3	5	6	12	6	7	7	6	7
Potri.001G001300.v3.0	278	399	236	274	223	368	347	336	287	212	312	444	312	394	308	281	410	209	307	261
Potri.001G001400.v3.0	150	216	124	160	85	95	108	93	100	104	93	102	86	87	110	96	129	84	108	97
Potri.001G001500.v3.0	696	318	571	774	528	256	273	263	229	204	252	199	223	224	253	249	256	151	195	216
Potri.001G001600.v3.0	2573	2711	2193	2365	1928	1934	1382	2139	1454	953	704	698	638	682	596	757	1065	465	663	525
Potri.001G001700.v3.0	509	837	527	444	364	467	582	531	450	461	304	591	372	390	490	296	506	366	416	409
Potri.001G001800.v3.0	2	2	4	2	5	12	27	20	32	8	8	26	11	14	23	12	7	15	12	26
Potri.001G001900.v3.0	0	0	4	0	2	0	0	1	10	2	0	0	1	0	1	0	1	1	4	0
Potri.001G002000.v3.0	153	273	104	97	149	2291	2020	2389	1584	2717	1748	4058	2576	3711	2233	761	3749	1432	1849	2222
Potri.001G002100.v3.0	10	21	6	7	6	55	60	48	57	47	60	70	54	35	47	62	40	56	50	73
Potri.001G002200.v3.0	9	16	12	5	4	28	42	47	40	37	56	53	61	35	61	34	56	68	46	60
Potri.001G002300.v3.0	12	20	8	3	2	42	104	68	52	48	209	165	194	162	214	218	117	152	172	206
Potri.001G002400.v3.0	1	0	3	0	2	1	1	1	1	3	16	2	25	5	8	11	1	16	20	7
Potri.001G002500.v3.0	158	426	155	92	143	4045	4380	4560	3984	1684	1700	1935	1384	1518	1360	1402	2703	1402	1232	1142
Potri.001G002600.v3.0	63	300	49	46	52	57	47	95	57	33	16	11	18	16	10	12	9	19	22	12
Potri.001G002700.v3.0	1	4	2	2	2	11	13	7	12	7	48	10	15	12	10	19	17	17	16	12
Potri.001G002800.v3.0	0	2	1	0	0	0	0	0	0	2	1	1	2	1	2	4	0	3	1	4
Potri.001G002900.v3.0	0	1	2	0	1	1	4	0	1	1	1	0	3	4	1	4	0	9	3	1
Potri.001G003000.v3.0	0	1	1	0	0	0	2	0	1	1	3	0	2	3	0	5	1	2	8	1
Potri.001G003100.v3.0	10	3	2	2	3	28	24	36	45	92	40	163	57	86	70	28	85	73	54	75
Potri.001G003200.v3.0	17	2	0	1	0	2	0	36	1	4	36	2	30	9	9	8	11	4	59	3
Potri.001G003300.v3.0	11	55	26	18	17	33	29	42	44	58	16	17	23	22	19	28	18	16	13	10
Potri.001G003400.v3.0	82	110	58	32	83	155	187	154	185	208	161	178	154	126	154	198	182	138	171	178
Potri.001G003500.v3.0	28	7	4	12	23	31	28	27	19	72	27	57	25	22	43	15	21	20	38	25
Potri.001G003600.v3.0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Potri.001G003700.v3.0	32	38	20	26	17	50	59	42	45	58	42	88	43	67	61	40	57	32	44	48
Potri.001G003800.v3.0	86	106	77	49	44	1010	1061	1079	831	726	415	503	432	541	446	474	360	427	239	513
